id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
247,Szewska Polka,Shoemaker’s Polka,,D major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,247_szewska-polka_print.pdf,,
248,Szła Cyganka Dolinką,The Gypsy Walked Through the Valley,15060,D major,2/4,polka,,,Sta. Sobas,John Sitek,"Chicago, Ill.",John Sitek,1933,print,248_szla-cyganka-dolinka_print.pdf,,
249,Take Me In Your Arms,,9645,D major,2/2,foxtrot,,Fred Markush and Fritz Rotter,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Mills Music Co.,1932,print,249_take-me-in-your-arms_print.pdf,,
251,Thanks,,8623,G major,2/2,foxtrot,"""Too Much Harmony"" (movie)",Arthur Johnston and Sam Coslow,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Famous Music Corp.,1933,print,251_thanks-foxtrot_print.pdf,,
252,The Man On The Flying Trapeze,,6735,G major,3/4,waltz,,,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",,,print,252_the-man-on-the-flying_print.pdf,,
253,The Missouri Waltz,,1608,D major,3/4,waltz,,Frederic Knight Logan,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Forster Music House,1915,print,253_the-missourit-waltz_print.pdf,,
254,The Old Spinning Wheel,,8631,G major,2/2,foxtrot,,Billy Hill,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Shapiro, Berstein & Co.",1933,print,254_the-old-spinning-wheel_print.pdf,,
255,They Cut Down The Old Pine Tree,,8527,G major,2/2,foxtrot,,"Willie Baskin, George Brown & Edward Eliscu",Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Vincent Youmans, Inc.",1929,print,255_they-cut-down-the-old_print.pdf,,
256,Tir-Ri-Um Tum Mazurka,,,A major,3/4,mazurka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,256_tir-ri-um-tum_print.pdf,,
257,"Trink, Trink, Brüderlein Trink","Drink, Drink, Little Brother, Drink",4210,D major,3/4,waltz,,,,,,,,pen,257_trink-bruderlein_pen.pdf,Popular German song,
260,Troszke Mi Sie Chciało,I Sort of Wanted To,,G major,3/4,mazurka,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,260_troske-mi-sie_print.pdf,,
261,Two Buck Tim From Timbuctoo,,,C major,2/2,foxtrot,,,Mario Agnolucci,,,,,pen,261_two-buck-tim_pen.pdf,,
262,U Mojego Wuja,At My Uncle's,,D major,2/4,polka,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,262_u-mojego-wuja_print.pdf,,
263,V. E. No. 94 Fragment,,94,G major,3/4,,,,,,,,,print,263_ve-no94_print.pdf,Fragment- second page of a two-page work,
265,Virginia Reel,,118,D major,2/4,reel,,Otto E. Georgi,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,265_virginia-reel_print.pdf,"""Virginia Reel"" was a popular American dance piece, and a ""reel"" a type of American folk dance",
266,W Szafliku Polka No. 1,Polka in the Washbasin No. 1,2433,D major,2/4,polka,,,Henry Schuckert,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,266_w-szafliku-polka_print.pdf,,
267,W. Szafliku-Polka No. 1,Polka in the Washbasin No. 1,2433,D major,2/4,polka,,,Henry Schuckert,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,267_w-szajliku_print.pdf,"Duplicate of ID#266, but in a different typeset and slightly more worn",
269,Wabash Blues,,7826,A major,4/4,foxtrot,,D. Ringle and Fred Meiken,Henry Silberhorn,Henry Silberhorn,"519 S. Wabash Ave., Chicago, Ill.","Leo Feist, Inc.",1922,print,269_wabash-blues_print.pdf,,
270,Walczyki Ludowe No. 1,Little Folk Waltzes No. 1,,A major,3/4,waltz,,,,,,,,pen,270_walczyki-ludowe_pen.pdf,"Incomplete: no concertina numbers, just the melody. Includes rare dynamic ""p"" at beginning",
272,Wanda Polka,,6048,G major,2/4,polka,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1925,print,272_wanda-polka_print.pdf,,
273,We Just Couldn't Say Good-bye,,8577,G major,2/2,foxtrot,,Harry Woods,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Keith-Engel, Inc.",1932,print,273_we-just-couldnt-say_print.pdf,,
274,Wesele U Witosa,Witos’s Wedding,,D major,2/4,krakowiak,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,274_wesele-u-witosa-hs_print.pdf,May refer to famous politician and peasant leader Wincenty Witos,
